rank,feature,mean_abs_shap
578,cnn_embedding_1684,0.006262288859750243
579,cnn_embedding_1841,0.0062557754204036085
580,cnn_embedding_886,0.006254332531368334
581,cnn_embedding_1722,0.006250688952528805
582,cnn_embedding_1373,0.006230258504683661
583,cnn_embedding_1525,0.0062291122478704605
584,cnn_embedding_1010,0.006228523654393569
585,cnn_embedding_931,0.006224439894773903
586,cnn_embedding_988,0.006217921137510985
587,cnn_embedding_231,0.006214083107913382
588,cnn_embedding_1534,0.006210382544678339
589,cnn_embedding_1323,0.006208650814011563
590,cnn_embedding_386,0.006204994261315733
591,cnn_embedding_733,0.006195656023850127
592,cnn_embedding_1228,0.006190583426299412
593,cnn_embedding_1565,0.006181048437243675
594,cnn_embedding_801,0.006164151531221051
595,cnn_embedding_655,0.006162301739411191
596,cnn_embedding_1787,0.006156922169685686
597,cnn_embedding_594,0.006156040487117309
598,cnn_embedding_1989,0.006152185331295357
599,cnn_embedding_918,0.006145694549267944
600,cnn_embedding_689,0.006143985952803632
601,cnn_embedding_1729,0.006135726108160933
602,cnn_embedding_031,0.006110292593658783
603,cnn_embedding_587,0.006107295238643928
604,cnn_embedding_091,0.006107155499543637
605,cnn_embedding_1775,0.006094317259903903
606,cnn_embedding_651,0.00609147931750158
607,cnn_embedding_1303,0.006077953492787458
608,cnn_embedding_240,0.0060761740083082215
609,cnn_embedding_1893,0.006067608099787592
610,cnn_embedding_708,0.006057580907894789
611,cnn_embedding_814,0.006052723713954933
612,cnn_embedding_989,0.006047683301303053
613,cnn_embedding_001,0.006041485247129686
614,cnn_embedding_1236,0.006040019635294413
615,cnn_embedding_976,0.006032494336344563
616,cnn_embedding_1731,0.006020344772331043
617,cnn_embedding_1554,0.006017200479394092
618,cnn_embedding_089,0.006010561290720062
619,cnn_embedding_576,0.0060100471683282915
620,cnn_embedding_355,0.006010004887146892
621,cnn_embedding_1639,0.00600807483494954
622,cnn_embedding_024,0.00600719859471468
623,cnn_embedding_1451,0.005999107077658295
624,cnn_embedding_1677,0.005988133269877771
625,cnn_embedding_1900,0.005977821245448922
626,cnn_embedding_726,0.0059697057702688735
627,cnn_embedding_811,0.005968824040569842
628,cnn_embedding_332,0.005964322366221353
629,cnn_embedding_082,0.005963154620797351
630,cnn_embedding_1118,0.005960595220906839
631,cnn_embedding_370,0.005951420428026211
632,cnn_embedding_728,0.005930628710388142
633,cnn_embedding_392,0.005925300528387823
634,cnn_embedding_474,0.005916569002819827
635,cnn_embedding_1627,0.005916361404058534
636,cnn_embedding_1401,0.005913648787514348
637,cnn_embedding_1621,0.005912982295782854
638,cnn_embedding_081,0.005911905336002832
639,cnn_embedding_1999,0.005909145527199655
640,cnn_embedding_932,0.005899091636802467
641,cnn_embedding_1235,0.005886001789670558
642,cnn_embedding_871,0.005881555930381666
643,cnn_embedding_449,0.005880943152294637
644,cnn_embedding_1738,0.005879764047237756
645,cnn_embedding_1389,0.005877909498445888
646,cnn_embedding_695,0.005866848295441684
647,cnn_embedding_1432,0.005866629220970277
648,cnn_embedding_1668,0.005853669674412742
