Id,num_faces,largest_face_area_ratio,emotion_angry,emotion_disgust,emotion_fear,emotion_happy,emotion_sad,emotion_surprise,emotion_neutral,emotion_unknown
n30DARxk9A4,0,0.0,0,0,0,1,0,0,0,0
-xfra2_tVF8,1,0.2259195842834025,0,0,0,0,0,0,1,0
Xtu2WXehZe4,0,0.0,0,0,0,0,0,0,1,0
c6N-zitUQ3M,1,0.062056060953364064,0,0,1,0,0,0,0,0
uHYmvUA0Y9c,4,0.03862104935950558,0,0,0,0,0,0,1,0
8qRZcXIODNU,0,0.0,0,0,0,0,0,1,0,0
zqllxbPWKNI,0,0.0,0,0,0,1,0,0,0,0
cIR72bmWEEk,1,0.2217594889599862,0,0,0,0,0,0,1,0
Xo232kyTsO0,1,0.16396675065120386,0,0,1,0,0,0,0,0
ZH7V2tU3iFc,2,0.0010471328653929074,0,0,0,0,1,0,0,0
JeUFrZtKkn8,1,0.12219706424024075,0,0,0,1,0,0,0,0
NICir0cWsEY,6,0.15212207772972156,0,0,0,0,0,0,1,0
bqNzbkIHYF8,0,0.0,0,0,0,1,0,0,0,0
2GZrPR5Ajrs,2,0.3221167810871344,0,0,0,0,1,0,0,0
2ea1FrrEJD0,1,0.1531512955220713,0,0,0,0,1,0,0,0
lBYC4_Lccjw,3,0.006566433863093455,0,0,0,1,0,0,0,0
3WQHDUYk310,1,0.12619229090193787,0,0,0,0,1,0,0,0
9gxC3mhjCEU,6,0.018755539213517396,0,0,0,0,0,1,0,0
7iPyz6Yqwl4,2,0.046425704419230496,1,0,0,0,0,0,0,0
Pctzq_pT2MU,0,0.0,0,0,0,0,0,0,1,0
s86-Z-CbaHA,0,0.0,0,0,0,0,1,0,0,0
A9tlDIhpMHo,1,0.0017317052144486904,0,0,0,0,0,0,1,0
HBMmK1c44sE,1,0.15821922325530574,0,0,0,0,0,1,0,0
t9R7xx0joOU,0,0.0,0,0,1,0,0,0,0,0
DrUVMdkb4_k,2,0.0020365102641608248,0,0,0,1,0,0,0,0
Gb8LNB9Zka4,3,0.021521574742229557,1,0,0,0,0,0,0,0
cJONS7sqi0o,1,0.5150774522226523,0,0,0,0,1,0,0,0
2zE-J1rK1NQ,0,0.0,0,0,1,0,0,0,0,0
mfT-UZCA6Tg,1,0.12881009976105362,0,0,0,0,1,0,0,0
TPLnnSHSeLE,2,0.03543717309027973,0,0,0,0,0,0,1,0
dje7uhyW23o,1,0.20410990020570807,0,0,0,1,0,0,0,0
8A7woRoVwyM,1,0.019728839416442902,1,0,0,0,0,0,0,0
mTztlpAcips,2,0.03222874228861353,0,0,0,0,1,0,0,0
cNsUbtV001E,0,0.0,0,0,1,0,0,0,0,0
uxRf7KS3abo,1,0.08449327857765133,0,0,0,0,0,0,1,0
K8gV05nS7mc,0,0.0,0,0,0,0,1,0,0,0
ORmUUhh6O-8,1,0.0017539097234475776,0,0,0,0,0,0,1,0
BgVJDd5vHfw,2,0.1434819893523925,0,0,0,0,0,0,1,0
j5v8D-alAKE,1,0.01096418353719653,0,0,0,0,0,1,0,0
O-kn9GVOzWc,1,0.0005490462707045178,0,0,0,0,1,0,0,0
uHt01D6rOLI,1,0.16532347316769777,1,0,0,0,0,0,0,0
-gZLTLmZBGM,2,0.0010542486893568063,1,0,0,0,0,0,0,0
_dSp_f0f9gE,6,0.038896003957077915,0,0,0,0,0,0,1,0
oZcKT37EsMs,1,0.05241844137782917,0,0,0,1,0,0,0,0
_J60fQr0GWo,4,0.07059759401972264,0,0,1,0,0,0,0,0
iXbvS1CrqdA,1,0.05330215561619753,1,0,0,0,0,0,0,0
ObQhpDQzfXE,0,0.0,0,0,1,0,0,0,0,0
jsAWnYewsMA,1,0.0006225103749380247,0,0,0,0,0,0,1,0
Ie_m_eBevUI,1,0.052798529464404664,0,0,0,0,1,0,0,0
cykdSb7xqI4,0,0.0,0,0,0,0,1,0,0,0
